id,topic_en,topic_ja,topic_zh,topic_zh_tw,keywords
guide_medical_prep,"Korea Medical Trip Prep Checklist","韓国メディカルツーリズム準備チェックリスト","赴韩医疗旅游准备清单","赴韓醫療旅遊準備清單","korea medical trip prep visa documents recovery timeline checklist"
guide_gangnam_clinics,"How to Choose a Gangnam Clinic","江南クリニックの選び方","江南诊所怎么选","江南診所怎麼選","gangnam clinic consultation language deposit review red flags"
guide_busan_medical,"Busan Medical Trip Area Guide","釜山メディカルエリアガイド","釜山医疗旅游区域指南","釜山醫療旅遊區域指南","busan clinic haeundae seomyeon stay transit"
guide_recovery_stay,"Recovery Stay Near Clinics in Korea","クリニック近くの回復滞在ガイド","韩国诊所附近的恢复住宿指南","韓國診所附近的恢復住宿指南","korea clinic hotel recovery quiet neighborhood walking distance"
guide_medical_visa_stay,"Korea Medical Visit Visa & Stay Timing","韓国医療ツーリズムのビザと滞在日数","赴韩就医签证与停留天数","赴韓就醫簽證與停留天數","korea medical visa stay duration departure after procedure short stay"
guide_gangnam_access,"Getting to Gangnam Clinics by Transit","江南クリニックへの公共交通アクセス","地铁怎么去江南诊所","地鐵怎麼去江南診所","gangnam station sinnonhyeon subway taxi walking clinic transit"
guide_consultation_questions,"Questions to Ask Before Booking a Clinic in Korea","韓国クリニック予約前に聞くべき質問","赴韩诊所预约前必问问题","赴韓診所預約前必問問題","clinic consultation questions language deposit interpreter recovery plan"
guide_deposit_refund,"Clinic Deposits, Cancellations & Refunds in Korea","韓国クリニックの予約金・キャンセル・返金","韩国诊所定金取消与退款注意","韓國診所訂金取消與退款注意","korea clinic deposit cancellation refund policy booking caution"
guide_aftercare_flight,"Flying Home After Surgery in Korea: Aftercare Timeline","韓国手術後の帰国タイミングとアフターケア","赴韩手术后何时可以飞回家","赴韓手術後何時可以飛回家","korea surgery aftercare flight clearance stitches swelling cabin pressure"
guide_medical_interpreter,"Medical Interpreters & Language Support in Korea Clinics","韓国クリニックの医療通訳・言語サポート","韩国诊所医疗口译与语言支持","韓國診所醫療口譯與語言支持","korea clinic interpreter coordinator english japanese chinese medical translation"
guide_pharmacy_meds,"Pharmacies & Post-Procedure Medications in Korea","韓国の薬局と術後薬の受け取り方","韩国药店与术后用药指南","韓國藥局與術後用藥指南","korea pharmacy prescription antibiotics painkillers otc recovery meds"
guide_seoul_vs_busan_medical,"Seoul vs Busan for a Medical Trip","ソウルと釜山のメディカルツーリズム比較","首尔 vs 釜山医疗旅游怎么选","首爾 vs 釜山醫療旅遊怎麼選","seoul busan medical trip clinic density recovery stay transit cost comparison"
